,Date,Tweet
91,Fri Dec 01 19:42:46 +0000 2017,@Iggy_proof @ladygaga Amazing!
92,Fri Dec 01 19:20:54 +0000 2017,TGIF mood. ?? @alessiacara https://t.co/b0JQseXDlh
93,Thu Nov 30 20:38:50 +0000 2017,"#TBT to that time @selenagomez rocked the #AMAs red carpet in leather and blonde hair. ? #SELENAxAMAs 

?:… https://t.co/OV3Px5Hidk"
94,Thu Nov 30 18:37:33 +0000 2017,"""Thank you to our fans for making this happen for us. This is insane."" 

@TheChainsmokers #TBT #AMAs https://t.co/5yKV6WuA6i"
95,Wed Nov 29 22:21:53 +0000 2017,RT @billboard: BTS surge up the album &amp; song charts following their American Music Awards performance https://t.co/mjvQsKRqml
96,Wed Nov 29 22:07:28 +0000 2017,?? I miss #BTSxAMAs https://t.co/4FbfHoZCH5
97,Wed Nov 29 18:34:42 +0000 2017,"""Take a moment to appreciate what you've got and #MakeChesterProud."" @linkinpark #AMAs https://t.co/SpoO0hSXnK"
98,Wed Nov 29 01:09:53 +0000 2017,A touching moment between @xtina and Pat Houston after her tribute to Whitney Houston at the #AMAs. ?… https://t.co/IWFG8sd4vJ
99,Tue Nov 28 18:25:00 +0000 2017,"OH... hello there, @AnselElgort ? #AMAs https://t.co/UTPHOCjs3q"
100,Mon Nov 27 22:02:39 +0000 2017,Stunning. ? @violadavis x #AMAs https://t.co/u1zfoClfFy
101,Mon Nov 27 20:15:06 +0000 2017,"Hey, @NiallOfficial ? That #AMAs trophy looks good on you. #NIALLxAMAs https://t.co/liagWh3Xbx"
102,Sun Nov 26 18:28:26 +0000 2017,"HE THE BEST! ?? Happy birthday, @djkhaled! https://t.co/QriBqT9e4h"
103,Fri Nov 24 21:36:00 +0000 2017,"What was your favorite @NickJonas #AMAs moment? Tweet me!

https://t.co/2WAdKcqYgr"
104,Fri Nov 24 19:22:00 +0000 2017,"If I could have just one ounce of @ddlovato's fierceness, life would be great. #DEMIxAMAs 

https://t.co/4mwc0s1n7w"
105,Fri Nov 24 17:38:17 +0000 2017,RT @HannahStocking: this is so accurate ? https://t.co/NUqyilfE9u
106,Fri Nov 24 17:31:58 +0000 2017,#ARMYxAMAs! There are still #BTSxAMAs pins and patches available. Get them here ?? https://t.co/ltJYLC22Am and twee… https://t.co/9gcqPaczJo
107,Fri Nov 24 03:38:00 +0000 2017,"When you look around you and are thankful for everything you have

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/xDTb4IkHN5"
108,Fri Nov 24 02:20:01 +0000 2017,"When you’re trying to get a game of football going but everyone’s too tired

Happy Thanksgiving!… https://t.co/F1tPUdT7K8"
109,Fri Nov 24 01:36:00 +0000 2017,"When you’re sitting at the kids table and trying to make the baby laugh

Happy Thanksgiving! https://t.co/Li9fO8PmIi https://t.co/QseqRPCb2e"
110,Fri Nov 24 00:15:00 +0000 2017,"When you overhear your parents bragging about how well you’re doing in school

Happy Thanksgiving!… https://t.co/6Y2pE63asU"
111,Thu Nov 23 22:35:00 +0000 2017,"When your mouth just wants to keep eating but your stomach can’t take any more

Happy Thanksgiving!… https://t.co/7kna3wgHiF"
112,Thu Nov 23 21:15:00 +0000 2017,"When your uncles get into a hilarious argument that you have to share

Happy Thanksgiving! https://t.co/Li9fO96Y6S https://t.co/MK0TgGBK6a"
