,Date,Tweet
128,Fri May 18 20:08:02 +0000 2018,?? Summer is so close you can taste it — and @Pharrell Williams and @Camila_Cabello have started the party early wi… https://t.co/AXkkK8b4AH
129,Fri May 18 18:53:01 +0000 2018,"New discoveries are ripe to explore at every turn of the internet — if anything, there's too little time to go down… https://t.co/ADQzO2fGjp"
130,Fri May 18 16:05:13 +0000 2018,"? Where’s all mah soul sistas, lemme hear ya’ll flow sistas ? 

@xtina, @Myaplanet9, @LilKim, and @Pink brought ""La… https://t.co/MFwpjHVh9G"
131,Fri May 18 14:43:03 +0000 2018,#YouTube announced it will be launching a new free and premium music listening platform in the U.S. and other terri… https://t.co/SPHko68gBx
132,Fri May 18 12:53:01 +0000 2018,"K-pop band Seventeen (@pledis_17) released the music video ""Call Call Call!"" for Japan's music market, teasing the… https://t.co/FwYpZ7StxV"
133,Fri May 18 01:13:27 +0000 2018,"What song do you listen to go to make everything go away? 

? Browse through more #qutoes from artists who have mad… https://t.co/5i8veyGH8z"
134,Fri May 18 00:12:01 +0000 2018,"GRAMMY winner @enriqueiglesias and soccer superstar @Cristiano Ronaldo, two of the biggest international stars from… https://t.co/rqd1YLpPSm"
135,Thu May 17 23:06:01 +0000 2018,"On the latest episode of the @GRAMMYMuseum's #RequiredListening podcast, GRAMMY winner @KeithUrban discusses his ap… https://t.co/xnXymBqlYo"
136,Thu May 17 22:15:00 +0000 2018,We joined executives from the music industry to testify on #CapitolHill in support of music copyright reform. The… https://t.co/4UKGgsQtUt
137,Thu May 17 20:46:00 +0000 2018,".@themrsband — aren't your average rock band. Sure, they have killer tracks such as ""Blink Of An Eye"" to their name… https://t.co/LyNT3RWeZl"
138,Thu May 17 19:09:02 +0000 2018,"Anticipation for the documentary 'Whitney' has reached a fever pitch, especially because cooperation by… https://t.co/6em6nWPdZ8"
139,Thu May 17 17:45:14 +0000 2018,"One day after teasing her latest mega-collaboration by revealing the song's artwork on her #Instagram, @JLo has now… https://t.co/Zs4hvfrDn3"
140,Thu May 17 16:07:03 +0000 2018,"Where Is @SamHuntMusic?

The GRAMMY nominee is back with a slow-burning new single that will no doubt serve as the… https://t.co/zUsePFEXCN"
141,Thu May 17 13:01:06 +0000 2018,"On the third release from Christina Aguilera's looming 'Liberation' album, Demi Lovato (@ddlovato)  joins @Xtina to… https://t.co/rMQtokI7Ke"
142,Thu May 17 01:07:02 +0000 2018,"GRAMMY-winning music icon @StevieWonder announced a new series of shows titled ""Stevie Wonder Song Party: Celebrati… https://t.co/Rkc1WQ9tqT"
143,Thu May 17 00:26:02 +0000 2018,"Two decades after their breakthrough third album arrived, 'Follow The Leader,' the influential metal and GRAMMY-win… https://t.co/sZ3QuABmxJ"
144,Wed May 16 23:19:19 +0000 2018,"If you had to choose a song that described your life's mission, what would it be? ?

? Browse through more #qutoes… https://t.co/Xv4pnROgad"
145,Wed May 16 21:55:03 +0000 2018,GRAMMY winners #DaveChappelle and #JonStewart will reunite for the first time since their August 2017 performances… https://t.co/9iTm9yNIA7
146,Wed May 16 21:30:09 +0000 2018,"RT @MusicianJustin: Yesterday, as a @RecordingAcad member and Trustee, I spoke on behalf of ALL music creators on the importance of the #Mu…"
147,Wed May 16 19:52:02 +0000 2018,"Want to make ""Purple Rain"" like Prince? ?
How about a classic rock guitar slinger like Tom Petty? ?

Whatever your… https://t.co/7wb4j6SLnP"
148,Wed May 16 17:48:03 +0000 2018,"Whether it's @AniDiFranco's ability to articulate a personal feeling, political purpose or social urgency, her fans… https://t.co/yldtgPQCm4"
149,Wed May 16 17:11:31 +0000 2018,RT @GRAMMYAdvocacy: Watch the powerful testimony that GRAMMY-nominated artist Justin Roberts (@MusicianJustin) voiced in yesterday's @SenJu…
150,Wed May 16 15:40:01 +0000 2018,"When you need a film soundtrack, who better to call then GRAMMY-winning country legend @DollyParton and singer/song… https://t.co/zKzRTeCm8s"
151,Wed May 16 14:28:01 +0000 2018,".@WarnerMusic Group introduces 'Level Music,' a platform for unsigned artists to release music on a major digital m… https://t.co/oEaxWXlZRT"
152,Wed May 16 13:00:45 +0000 2018,Vicky Cornell announced a vigil offering #fans an opportunity to pay tribute to the late GRAMMY winner Chris Cornel… https://t.co/rQmLiSqj6T
153,Wed May 16 01:30:00 +0000 2018,"""@MusiCares is a very amazing organization in terms of their efficiency."" -  .@PearlJam guitarist @MikeMcCreadyPJ w… https://t.co/2ivBWRWXju"
154,Tue May 15 23:30:09 +0000 2018,GRAMMY-winning groups @TheChainsmokers and @DuranDuran have been announced as headliners for the first ever edition… https://t.co/NypeHfzDRP
155,Tue May 15 21:40:21 +0000 2018,"RT @GRAMMYAdvocacy: We applaud and thank the @SenJudiciary Committee, including Chairman @ChuckGrassley and the bill's sponsor, Sen. @Orrin…"
156,Tue May 15 21:39:21 +0000 2018,"Today, members of the #RecordingAcademy, including GRAMMY-nominated artist Justin Roberts, joined executives from a… https://t.co/P3CzwTnQlm"
157,Tue May 15 20:17:00 +0000 2018,How does @Megadeth's @DaveMustaine come up with such bad-a** metal riffs? ? The GRAMMY winner details his unique ap… https://t.co/6XJqQ8IVD8
158,Tue May 15 20:03:04 +0000 2018,"The official trailer for @BoRhapMovie is finally here, providing the deepest look yet into the @QueenWillRock biopi… https://t.co/WjxU8RUpIW"
159,Tue May 15 18:14:02 +0000 2018,"At a time when quickly sharing playlists has superseded recording tapes or burning CDs, #cassettes are some of the… https://t.co/39nWNTXg4Y"
160,Tue May 15 17:39:57 +0000 2018,RT @GRAMMYAdvocacy: Thank you to GRAMMY-nominated artist Justin Roberts for testifying in today's @SenJudiciary hearing and describing how…
161,Tue May 15 17:02:13 +0000 2018,RT @MusiCares: An evening of spirited classic rock covers provided the perfect soundtrack for honoring @PearlJam guitarist @MikeMcCreadyPJ…
162,Tue May 15 16:01:22 +0000 2018,"The @FooFighters have announced @CalJamfest 2018, which promises rock and roll shenanigans with more than 20 bands… https://t.co/dorruyqbuX"
