,Date,Tweet
123,Wed May 30 16:31:00 +0000 2018,"W O W, @BTS_twt is breaking records left and right: https://t.co/g79FxuNKYF ? https://t.co/9pQSHqKbvX"
124,Wed May 30 16:01:00 +0000 2018,.@sza revealed that her vocal chords are permanently damaged through a string of since-deleted tweets last night:… https://t.co/z1z0MxqPBx
125,Wed May 30 15:31:13 +0000 2018,"?? Makeup queen, @ddlovato ?? https://t.co/Tn2MLplKbg"
126,Wed May 30 15:00:01 +0000 2018,This could be your view while you and your BFF have a private dinner with @NeYoCompound in New Orleans! Enter here:… https://t.co/TBdrgrzFWk
127,Wed May 30 14:51:28 +0000 2018,RT @NeYoCompound: My new album #GoodMan is out 6/8...same day i'll be doing an @iHeartRadio @AskAnythingChat for @IAmSteveHarvey &amp; his crew…
128,Wed May 30 14:36:57 +0000 2018,.@nickjonas and @priyankachopra have been spotted looking ADORABLY cozy together over the past few weeks ? https://t.co/sh01JtB2sd
129,Wed May 30 14:02:50 +0000 2018,"Question: Will @Normani be my #WCW every week for the rest of my life???

Answer: Yes, probably ? https://t.co/lnAxWg4Q5k"
130,Wed May 30 13:00:00 +0000 2018,"Hilarious comedian, actress, author, TV host, producer, and philanthropist @ChelseaHandler dishes on her busy life,… https://t.co/A7tVObG9Ic"
131,Wed May 30 12:00:01 +0000 2018,Start off your morning by wishing @CeeLoGreen a happy birthday! ? https://t.co/kAWx2YGMmr
132,Wed May 30 02:11:30 +0000 2018,RT @AskAnythingChat: shout out to #ARMY member #ClaireYoo for translating the @bts_bighit @iHeartRadio @AskAnythingChat they did for @OnAir…
133,Wed May 30 02:10:38 +0000 2018,RT @FreeformTV: Kick off summer with @iHeartRadio's #WangoTangoOnFreeform. Watch it this Sunday at 8/7c. // @ArianaGrande @ShawnMendes @Meg…
134,Wed May 30 02:02:00 +0000 2018,"Still not over this news about @NICKIMINAJ + @Eminem, tbh https://t.co/znHz5wbYTm"
135,Wed May 30 01:32:00 +0000 2018,Quick appreciation tweet for @ImZachHerron because he is the coolest 17 year old I know ? https://t.co/fsCWJzWvmZ
136,Wed May 30 01:00:01 +0000 2018,All the ways you can watch #WangoTango this weekend: https://t.co/stxzalF9ow ? https://t.co/fXiI3HHrTE
137,Wed May 30 00:29:00 +0000 2018,Cardi B had no idea that Donald Glover and Childish Gambino were the same person: https://t.co/lRroJkorZd https://t.co/Wr1Zy9j8aF
